Dominant Wavelength(nm),Turbidity,Year,Julian
522,2.09,2021,157
558,10.64,2021,189
564,6.57,2021,204
563,5.13,2021,209
542,5.29,2021,224
521,2.69,2021,249
537,2.15,2021,254
525,1.78,2022,194
539,2.71,2022,199
537,3.56,2022,204
537,4.38,2022,209
571,6.72,2022,214
548,6.56,2022,219
551,6.79,2022,224
549,7.35,2022,229
555,8.82,2022,234
553,8.23,2022,244
556,7.46,2022,249
530,3.92,2022,264
519,3.26,2022,269
510,2.27,2022,274
506,2.06,2022,279
