Turbidity
0.553
0.509
0.462
0.446
0.407
0.451
0.41
0.488
0.528
0.515
0.698
0.686
0.703
0.753
0.677
0.708
0.674
0.67
0.661
0.668
0.647
0.688
0.683
0.651
0.629
0.633
0.6
0.557
0.532
0.531
0.482
0.444
0.517
0.481
0.54
0.536
0.54
0.524
0.516
0.506
0.474
0.451
0.465
0.626
0.603
0.568
0.548
0.51
0.468
0.464
0.449
0.484
0.46
0.427
0.393
0.408
0.415
0.429
0.446
0.427
0.419
0.395
0.388
0.391
0.4
0.385
0.362
0.335
0.281
0.3
0.313
0.338
0.319
0.353
0.327
0.335
0.335
0.332
0.308
0.32
0.303
0.275
0.265
0.298
0.316
0.314
0.31
0.337
0.309
0.318
0.304
0.268
0.258
0.222
0.175
0.157
0.151
0.132
0.656
0.684
0.671
0.611
0.609
0.628
0.58
0.582
0.624
0.654
0.729
0.676
0.675
0.633
0.637
0.739
1.37
1.577
2.035
2.266
2.122
2.27
2.088
2.019
1.978
1.892
1.848
1.738
1.587
1.592
1.476
1.446
1.425
1.337
1.32
1.268
1.255
1.263
1.332
1.287
1.282
1.256
1.198
1.104
0.999
0.928
0.847
0.778
0.729
0.689
0.627
0.555
0.48
0.452
0.408
0.399
0.369
0.307
0.306
0.281
0.249
0.237
0.256
0.274
0.297
0.296
0.37
0.366
0.393
0.404
0.411
0.456
0.433
0.423
0.427
0.428
0.446
0.446
0.436
0.436
0.413
0.404
0.381
0.343
0.058
0.039
0.076
0.075
0.329
1.064
1.8
1.818
1.7
1.651
1.602
1.485
1.588
1.603
1.744
1.769
1.709
1.964
2.158
2.563
3.42
3.808
3.586
3.668
3.663
3.461
3.352
3.246
3.01
2.847
2.652
2.433
2.247
2.137
2.085
1.937
1.96
1.877
1.852
1.742
1.626
1.6
1.532
1.47
1.597
1.554
1.628
1.574
1.346
1.203
1.189
1.11
1.001
0.832
0.725
0.606
0.545
0.42
0.343
0.275
0.203
0.154
0.112
0.07
0.022
0.001
-0.031
-0.006
0.02
-0.016
-0.019
-0.024
-0.07
-0.088
-0.105
3.797
4.044
4.21
3.84
4.715
4.156
3.828
3.735
3.286
3.202
3.076
3.08
2.952
2.748
2.564
2.502
2.408
2.314
2.311
2.184
2.164
1.951
1.875
1.868
1.932
2.05
1.818
1.838
1.788
1.71
1.54
1.397
1.276
1.115
1.057
0.998
0.873
0.848
0.775
0.696
0.637
0.554
0.45
0.404
0.337
0.285
0.227
0.219
0.209
0.237
0.307
0.324
0.313
0.338
0.334
0.36
0.363
0.362
0.349
0.333
0.327
0.32
0.29
0.289
0.281
0.276
0.262
0.247
0.188
0.183
0.147
0.13
0.115
0.107
0.094
0.104
0.115
0.135
0.136
0.147
0.164
0.167
0.203
0.24
0.243
0.234
0.226
0.23
0.196
0.172
2.429
2.22
2.3
2.156
1.996
1.81
1.713
1.625
1.534
1.444
1.371
1.347
1.3
1.268
1.141
1.155
1.13
1.049
1.032
1.074
1.061
1.042
1.053
0.99
0.922
0.861
0.814
0.76
0.711
0.676
0.66
0.607
0.574
0.539
0.516
0.476
0.436
0.38
0.365
0.369
0.37
0.392
0.356
0.351
0.354
0.385
0.38
0.349
0.336
0.317
0.285
0.271
0.268
0.27
0.28
0.285
0.293
0.283
0.273
0.259
0.268
0.25
0.242
0.282
0.277
0.287
0.311
0.306
0.37
0.342
0.348
0.408
0.463
0.417
0.362
0.337
0.343
0.314
0.314
0.292
0.279
0.3
0.24
0.278
0.272
0.268
0.284
