Turbidity
1.695
1.754
1.986
2.198
2.179
2.304
2.351
2.457
2.341
2.521
2.596
2.634
2.898
3.175
3.398
3.575
3.438
3.301
3.382
3.384
3.237
3.165
3.052
3.148
3.196
3.332
3.558
4.099
4.577
4.67
4.286
4.084
3.851
4.146
4.437
4.492
4.566
5.243
6.256
6.04
5.512
5.249
5.067
4.866
4.766
4.525
4.321
4.09
4.147
3.948
4.116
3.857
3.646
3.292
3.01
2.823
2.666
2.426
2.2
1.972
1.821
1.698
1.581
1.449
1.375
1.399
1.385
1.253
1.205
1.14
1.068
0.955
0.899
0.875
0.841
0.765
0.738
0.662
0.639
0.619
0.586
0.568
0.556
0.536
0.511
0.472
0.44
0.456
0.427
0.382
0.394
0.343
1.852
1.904
1.943
2.201
2.099
2.028
2.209
2.227
2.114
2.065
2.006
2.044
2.236
2.388
2.306
2.41
2.317
2.391
2.264
2.211
2.179
2.135
2.108
2.273
2.187
2.117
2.187
3.172
2.884
3.172
3.514
3.718
3.945
4.582
4.494
4.299
4.076
3.919
3.517
3.28
3.197
2.898
2.996
2.736
2.581
2.596
2.347
2.161
2.029
1.956
1.892
1.915
1.764
1.823
2.094
2.013
2.123
1.973
1.963
1.993
1.902
1.836
1.73
1.642
1.566
1.455
1.382
1.328
1.319
1.279
1.179
1.159
1.111
1.027
0.969
0.931
0.824
0.819
0.754
0.679
0.654
0.646
0.564
0.471
1.731
1.763
1.724
1.861
1.906
2.091
2.386
2.893
2.761
2.776
2.835
3.068
3.289
3.496
4.13
5.052
8.982
9.775
10.478
10.545
12.943
15.952
14.065
13.051
11.476
10.82
11.007
10.837
10.606
10.318
10.145
10.833
13.189
13.407
12.752
12.435
11.814
10.306
10.042
9.736
8.939
8.285
7.795
6.967
5.74
5.542
4.386
4.87
4.738
4.828
4.728
4.781
4.644
4.547
4.29
4.182
4.103
4.055
4.001
3.894
3.574
3.49
3.473
3.291
3.355
3.132
3.167
2.856
2.681
2.475
2.302
2.23
2.045
1.878
1.795
1.729
1.675
1.648
1.534
12.254
16.888
16.869
16.434
16.211
19.115
21.513
23.236
24.744
25.608
23.499
22.837
21.817
20.302
17.938
15.675
14.909
13.349
12.473
11.479
10.366
9.309
7.927
7.556
6.844
7.23
6.888
6.979
6.869
6.976
6.608
6.5
6.747
6.614
6.649
7.291
6.756
6.123
5.636
5.129
4.769
4.819
5.376
5.077
5.262
5.099
5.173
4.806
4.71
4.358
4.044
3.959
3.77
3.521
3.271
2.94
2.76
2.536
2.412
2.317
2.213
2.187
2.073
1.964
1.76
1.678
1.57
1.47
1.332
1.33
1.285
1.292
1.284
1.397
1.564
1.426
1.367
1.261
1.172
1.13
1.252
1.151
1.075
0.997
2.411
2.731
3.131
3.476
3.725
3.607
3.646
3.911
3.825
3.751
3.782
4.068
4.266
4.714
5.793
6.31
7.373
9.173
10.091
10.887
11.089
10.365
9.319
9.423
8.636
8.008
7.702
7.48
8.6
9.476
8.911
8.468
8.712
8.445
9.507
9.802
10.215
9.634
9.622
9.767
9.078
8.482
8.465
8.605
9.072
8.269
7.927
7.637
7.837
7.763
7.602
7.357
7.179
6.983
6.401
6.193
5.951
5.553
5.25
5.101
4.656
4.506
4.541
4.215
3.916
3.743
3.6
3.39
3.248
3.089
2.913
2.724
2.53
2.445
2.376
2.283
2.16
2.067
2.065
1.957
1.916
1.886
1.773
1.739
1.713
